job_name,job_type,company_name,job_location,job_date,num_of_people,experience_needed,career_level,education_level,gender,salary,job_categories,skills_and_tools,job_description,job_requirements,key_job
Front-end developer (Vue.js),['Full_Time'],Gulf Terminal,Mansoura Dakahlia Egypt,Posted 22 hours ago,8,3_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer_Science', 'developer', 'Front', 'front-end', 'Front-End_Developer', 'Information_Technology_(IT)', 'JavaScript', 'Js', 'Software_Development', 'Vue', 'Vue.js']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']","['Proven work experience as a Front-end developer', 'Hands on experience with markup languages', 'Experience with JavaScript, CSS and jQuery', 'Familiarity with browser testing and debugging', 'In-depth understanding of the entire web development process (design, development and deployment)', 'Understanding of layout aesthetics', 'Knowledge of SEO principles', 'Familiarity with software like Adobe Suite, Photoshop and content management systems', 'An ability to perform well in a fast-paced environment', 'Excellent analytical and multitasking skills', 'BSc degree in Computer Science or relevant field']",front end
Senior Front End Developer,['Full_Time'],kafiil,Maadi Cairo Egypt,Posted 2 days ago,50,3_To_6_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['CSS3', 'CSS', 'Front_end', 'front-end', 'HTML5', 'Git', 'JavaScript', 'jQuery']","['Mid to Senior Front End Developer', 'We are currently seeking a talented and experienced Front End Developer to join our team. As a Front End Developer, you will be responsible for transforming UI/UX designs into high-quality, responsive front-end code using HTML, CSS, Bootstrap, and JavaScript. Your expertise in front-end development will play a crucial role in creating visually appealing and user-friendly web applications.', '###Responsibilities:', 'Collaborate with UI/UX designers and back-end developers to translate design concepts into functional and interactive web pages.', 'Write clean, efficient, modular, reusable, and maintainable code using HTML, CSS, Bootstrap, and JavaScript.', 'Implement responsive designs that are compatible across different browsers and devices.', 'Conduct thorough testing and debugging to ensure smooth functionality and identify and fix any issues or bugs.', 'Stay updated with the latest front-end technologies and best practices, and proactively propose improvements to enhance the development process.', 'Collaborate with cross-functional teams to ensure seamless integration of front-end components with back-end systems.', 'Join our dynamic team and contribute to the development of innovative web applications. We offer a competitive salary, professional growth opportunities, and a collaborative work environment. If you are passionate about front-end development and have the skills to create exceptional user experiences, we would love to hear from you.']","['Proven experience as a Front End Developer, with a strong portfolio showcasing your previous work.', 'Expert Knowledge of JavaScript, Ajax, JQuery, HTML5, CSS3, Bootstrap (is a Must).', 'Solid understanding of responsive web design principles and experience in creating mobile-friendly web applications.', 'Good Understanding of Cross-browser Compatibility issues.', 'Familiarity with modern CSS features (e.g SVG, CSS Grid, Flexbox).', 'Familiarity with modern web platform APIs (like Canvas, local storage, Geolocation, service workers, ...etc)', 'Familiarity with front-end frameworks and libraries (e.g., React, Vue.js) is a plus.', 'Ability to work independently as well as in a team-oriented environment.', 'Experience with version control systems (e.g., Git) and front-end build tools (e.g., Gulp, Webpack) is preferred.']",front end
"Front End Developer (React , Nextjs 14)","['Freelance_/_Project', 'Work_From_Home']",Confidential,Ain Shams Cairo Egypt,Posted 3 days ago,22,3_To_5_Years,"Senior_Management_(CEO,_GM,_Director,_Head)",Not_Specified,male and female,Confidential,['IT/Software Development'],"['front-end', 'Development', 'JavaScript', 'Web_Development', 'CSS', 'API', 'React', 'SEO']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']","['+ Implement performance improvements', '+ Design and maintain automated monitoring and reporting tools', '+ Discover new opportunities, research, debug and profile', '+ Provide technical guidance to engineering teams on following performance standards', '+ 5+ years of experience', '+ Excellent JavaScript knowledge', '+ Expert-level knowledge of SEO principles', '+ Expert-level knowledge of modern Front-end tools: TypeScript, React, Redux etc.', '+ Experience in building large-scale single-page applications', '+ Expert-level knowledge of functional programming, design patterns', '+ Up-to-date knowledge on Browser API’s, Progressive Web Apps', '+ Effective communication skills and the ability to work in a group of highly skilled developers and product owners']",front end
IT Front End Support Lead,['Full_Time'],DHL,Dubai United Arab Emirates,Posted 11 hours ago,0,Not_Specified,Not_Specified,Not_Specified,male and female,Confidential,"['IT/Software Development', 'Operations/Management', 'Engineering - Telecom/Technology']","['Computer_Science', 'Information_Technology_(IT)', 'CSS', 'Software_Development', 'javaScript', 'HTML', 'Engineering', 'HTML5', 'React', 'Computer_Engineering', 'Design', 'Git', 'CSS3', 'Angular', 'Angular_2+', 'Frontend', 'SQL', 'AWS', 'Front-End', 'Node.js']","['COME JOIN THE WORLD’S MOST INTERNATIONAL COMPANY', 'A company that pioneered cross-border express delivery in 1969 and is now active in more than 220 countries and territories worldwide. DHL Express UAE is the recognized market leader in Express logistics and an Employer of Choice - ranked consistently as Great Place To Work in the UAE for 11 consecutive years until 2023.', ""Join our team and discover how an international network that's focused on service, quality and sustainability, is able to connect people and improve lives through the power of global trade. And not just for our customers, but for every member of our team too."", 'To learn more about our culture, motivated people and our purpose, please visithttps://careers.dhl.com/global/en', 'ABOUT THE ROLE', 'To provide initial set-up and on-going user support for all Front End Services (FES), including hardware, software and other IT equipment’s. To provide first level support for all FES Services. To be responsible for tickets dispatched to the UAE, ensuring correct categorization and timely delivery. To ensure that all DHL Security requirements and legal obligations regarding software licensing are communicated to the IT Services Manager. To maintain/manage IT Infrastructure as per DHL standards and work closely with IT Service Manager to have DR plan in place.', 'YOUR TASKS', 'To maintain all Services and hardware at agreed operational performance levels.', 'To resolve problems either through personal action or by organising resolution through the ITSC Helpdesk or a third party vendor.', 'To set up personal computer for both hardware and authorized software.', 'To ensure the functionality and accessibility of all shared peripherals such as printers, plotters, scanners, etc', 'To ensure that all personal computers have installed with DHL Standard OS, with the latest anti virus software and that all automatic updates are being installed in a timely manner.', 'Plan, deploy and commission new servers / workstations including installation of relevant OS and software to handle increasing business and an expanding user base within the context of relevant MEA policies and procedures.', 'Ensure all issues and requests are logged in the Service Desk.', 'Ensure that Global change control policies are followed.', 'Ensure all new applications and/or new releases are tested and obtained sign-off prior to implementation.', 'Ensure approval is obtained from the Change Control Board (Country stakeholders) before making changes to the “live” environment.', 'Plan and deploy software while maintaining asset management, security policies and agreed standard operating environment', 'YOUR PROFILE', '5-7 years experience in a technical support role', 'Degree in Information Services / Business (or equivalent)', 'Business process knowledge - domain or industry related', 'Customer and end-user focused', 'Strong analytical skills', 'Creative problem solving skills and an ability to work conceptually', 'Able to achieve results through influencing others', 'Communication skills (English), spoken and written', 'Technical expertise in: Personal computer set up and preparation for use both hardware and software', '1st & 2nd Level hardware and software troubleshooting', 'Server set up and preparation for use (hardware and software)', 'IBM / Intel compatible PC hardware configurations', 'Windows 10/11 operating systems', 'Support of standard desktop applications such as MS O365 suites, Outlook, Visio, etc.', 'TCP/IP, SMTP, DNS, DHCP, AD', 'Knowledge of Internet technologies, Zebra Scanners, Network Printers and Audio/Visual systems']",none,front end
UI Designer and Front-End Developer,['Part_Time'],Ejad,Dokki Giza Egypt,Posted 6 days ago,63,2_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['Business Development', 'Creative/Design/Art', 'IT/Software Development']","['Bootstrap', 'Design', 'front-end', 'JavaScript', 'UI/UX', 'front-end_web_development', 'Graphic_Web_Design', 'Website_Designing']","['We are looking for a talented and experienced UI Designer and Front-End Developer to join our team. The ideal candidate will have a strong understanding of user interface design and front-end development, with a passion for creating visually appealing and user-friendly web and mobile applications.', 'Responsibilities:', 'Collaborate with the design and development teams to create wireframes, mockups, and prototypes for web and mobile applications', 'Design and develop user interfaces for web and mobile applications using HTML, CSS, and JavaScript', 'Optimize applications for maximum speed and scalability', 'Ensure the technical feasibility of UI/UX designs', 'Stay up-to-date with the latest trends and best practices in UI/UX design and front-end development', 'Work closely with back-end developers to integrate user-facing elements with server-side logic', 'Troubleshoot and debug issues with front-end code', 'Conduct user research and usability testing to gather feedback and make improvements to the user interface']","['Proven work experience as a UI Designer and Front-End Developer', 'Strong proficiency in HTML, CSS, and JavaScript', 'Experience with responsive design and mobile-first development', 'Knowledge of front-end frameworks such as Bootstrap, Foundation, or Materialize', 'Familiarity with design tools such as Adobe XD, Sketch, or Figma', 'Understanding of cross-browser compatibility and accessibility standards', 'Excellent communication and collaboration skills', 'Ability to work in a fast-paced and dynamic environment', 'A strong portfolio showcasing UI/UX design and front-end development work', 'If you are a creative and detail-oriented professional with a passion for creating exceptional user experiences, we would love to hear from you. Join our team and help us build innovative and user-friendly applications.']",front end
Senior Front End Developer - Next.Js,['Full_Time'],Zeidex,Giza Egypt,Posted 7 days ago,60,4_To_6_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['React.js', 'Next.js', 'Front-End_Development', 'Redux', 'Node.js', 'ES6', 'JavaScript', 'Scrum', 'Agile', 'Problem_Solving', 'UI/UX', 'Software_Development', 'React', 'HTML', 'Information_Technology_(IT)', 'CSS', 'Computer_Science', 'Frontend']","['Leverage expertise in React.js and Next.js to design and implement scalable, high-performance, and responsive user interfaces.', 'Collaborate closely with UI/UX designers to translate design concepts into functional and visually appealing frontend components.', 'Write clean, modular, and maintainable code, adhering to best practices and coding standards.', 'Ensure the technical feasibility of UI/UX designs and implement them seamlessly.', 'Identify and address performance bottlenecks, ensuring optimal rendering and responsiveness across various devices and browsers.', 'Work collaboratively with backend developers, product owners, and other stakeholders to integrate frontend components with server-side logic. • Contribute to architectural decisions and design discussions', 'Implement and execute frontend unit tests to ensure the reliability and robustness of the codebase.', 'Collaborate with QA teams to identify and resolve frontend-related issues.', 'Document best practices and guidelines for front-end development within the team.', 'Proactively seek opportunities to enhance skills and knowledge.']","[""Bachelor's degree in Computer Science, Information Technology, or a related field. (Advanced degree is a plus)"", '4-6 years of proven experience in front-end development.', 'Demonstrated expertise in React.js and Next.js.', 'Proficient in HTML, CSS, JavaScript, and related frontend technologies.', 'Strong analytical and problem-solving skills, with a focus on delivering high-quality solutions.', 'Excellent communication and collaboration skills, with the ability to work effectively in a team environment.', 'Experience working in Agile/Scrum methodologies, with a focus on iterative and incremental development.', 'Provide a portfolio or examples of previous projects demonstrating proficiency in Next.js.']",front end
Senior Angular Front-end developer,['Full_Time'],Edentech,Heliopolis Cairo Egypt,Posted 3 days ago,19,5_To_7_Years,Experienced_(Non-Manager),Not_Specified,male and female,0,['IT/Software Development'],"['Angular', 'Figma', 'JavaScript', 'CSS3', 'HTML5', 'Typescript', 'Node.js']","['Design, develop, and maintain high-quality, responsive web applications using Angular framework and best practices.', 'Collaborate closely with designers and back-end developers to translate designs (from Figma, PSD, ..) into functional and performant UIs.', 'Architect and implement reusable components and UI libraries for future use.', 'Optimize applications for performance, accessibility, and cross-browser compatibility.', 'Write clean, modular, and well-documented code.', 'Conduct unit and integration testing for front-end code', 'Stay up-to-date with the latest Angular trends, libraries, and tools', 'Participate in code reviews and provide constructive feedback.', 'Mentor and guide junior developers.', 'Contribute to a positive and collaborative team environment.']","['5+ years of experience as a Front-End Developer with a strong focus on Angular.', 'In-depth knowledge of Angular framework (including TypeScript, RxJS, and Angular Material).', 'Proven experience building complex, single-page applications (SPAs).', 'Expertise in HTML5, CSS3 (LESS/Sass preprocessors knowledge is nice to have), and JavaScript (including modern ES6+ features)', 'Experience with responsive design principles and mobile development', 'Familiarity with RESTful APIs and data binding techniques', 'Knowledgeable source control Git.', 'Strong understanding of web accessibility best practices', 'Excellent communication, collaboration, and problem-solving skills', 'Ability to work independently and as part of a team.', 'Passion for web development and a desire to learn and grow.', 'Bonus Points:', 'Experience with server-side rendering (SSR)', 'Experience with performance optimization techniques', 'Experience with DevOps practices and automation tools']",front end
Senior Software Developer - Front-End,"['Part_Time', 'Freelance_/_Project', 'Work_From_Home']",Confidential,Heliopolis Cairo Egypt,Posted 3 days ago,16,6_To_8_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,15000,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Software_Developer', 'Microsoft.Net', '.Net', 'ASP', 'C#', 'SQL', 'Website_Development', 'HTML', 'CSS', 'HTML5', 'JavaScript', 'SEO', 'Windows_Server', 'Software_Development', 'IIS', 'XML', 'MySQL', 'jQuery', 'AJAX', 'javaScript', 'Development', 'Information_Technology_(IT)', 'Computer_Science', 'CMS', 'TFS', 'ASP.NET', 'Computer_Engineering', 'Engineering', 'Software_Engineering', 'Angular']","['You will contribute to the end-to-end implementation of our solutions of the next-generation software products of our platforms and applications.  Will design, develop, test, implement, and support application components for our innovative digital products that provide seamless experience to the end-user. Should have experience in developing the web frontends, middleware and integrate it with our  backend layers of the software products.']","['4 to 8 years’ experience in software development', 'Must have strong skills in Angular 2+ is a must, HTML5, CSS3 ,  JavaScript,  Full SDLC,  UX Design, SVG photos,  jQuery, Ajax, XML', 'Selecting best-case technologies, integrating to third-party systems', 'Exchange knowledge and work with project team members', 'Self-learning new technologies', 'Documentinon of delivered work', 'Providing technical support and troubleshooting for different systems and applications', 'Be organized, self-motivated and ambitious with a desire to develop cutting-edge front-end websites supported by technically challenging back-end solutions.z', 'Good Command of English Language']",front end
Senior Front End Engineer,['Full_Time'],DX,New Cairo Cairo Egypt,Posted 3 days ago,9,7_To_10_Years,Experienced_(Non-Manager),Not_Specified,male and female,15000,['IT/Software Development'],"['Engineering', 'Software', 'Software_Development']","['Job Description:', 'As a Senior Frontend Engineer at [Your Company Name], you will play a pivotal role in shaping the user experience of our AI-powered applications. You will work closely with our cross-functional teams of engineers, designers, and product managers to create intuitive and visually appealing user interfaces. Your expertise in frontend development will be crucial in driving the success of our products.', 'Key Responsibilities:', 'Collaborate with designers to translate UI/UX designs into responsive and interactive web applications.', 'Architect and develop complex frontend systems and components using modern JavaScript frameworks (e.g., React, Angular, or Vue.js).', 'Optimize web applications for performance, scalability, and responsiveness.', 'Ensure cross-browser compatibility and adherence to web standards.', 'Write clean, maintainable, and well-documented code.', 'Stay up-to-date with the latest frontend development trends and best practices.', 'Mentor and provide guidance to junior engineers, fostering a culture of learning and growth.', 'Collaborate with backend engineers to integrate frontend components with server-side APIs.', 'Troubleshoot and debug frontend issues, providing timely solutions.', 'Contribute to code reviews and participate in agile development processes.']","['Qualifications:', ""Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent experience)."", 'Minimum of 7 years of professional experience in frontend development.', 'Proven expertise in building web applications using JavaScript, HTML5, and CSS3.', 'Strong proficiency in at least one modern frontend framework preferably Svelte (e.g., React, Angular, or Vue.js).', 'Familiarity with RESTful API integration and asynchronous programming.', 'Solid understanding of responsive design principles.', 'Experience with version control systems (e.g., Git).', 'Excellent problem-solving and debugging skills.', 'Strong communication and teamwork abilities.', 'Experience with unit testing and test-driven development (TDD) is a plus.']",front end
Front End Developer,['Full_Time'],Atribs Metscon,Dubai United Arab Emirates,Posted 15 days ago,216,Not_Specified,Not_Specified,Not_Specified,male and female,Confidential,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Information_Technology_(IT)', 'Computer_Science', 'Software_Development', 'javaScript', 'CSS', 'HTML', 'Software_Engineering', 'HTML5', 'Web_Development', 'CSS3', 'Angular', 'Front_End', 'Front-End', 'jQuery', 'Engineering', 'Computer_Engineering', 'Git', 'PHP', 'UI', 'React']","['3 - 4 Years of Experience in UI technologies like ReactJS/Redux or Angular.', 'Design and develop user interfaces for web portals and applications using HTML5, CSS3, JavaScript, and the React library (or) Angular framework, ensuring a high level of usability, accessibility, and responsiveness.', 'Experience with responsive and mobile-first design approaches.', 'Solid understanding of UI design principles, information architecture, and interaction design.', 'Strong problem-solving skills and the ability to translate business requirements into user-centered design solutions.', 'Proven experience in creating visually appealing and intuitive user interfaces for complex web applications.', 'Conduct code reviews and provide feedback to ensure code quality, maintainability, and adherence to established UI design principles.', 'Optimize web portals and applications for performance, speed, and cross-browser compatibility. Collaborate closely with backend developers to integrate front-end components and ensure seamless data flow and functionality.', 'Implement UI/UX design best practices, style guides, and design systems to ensure consistency and scalability across the banking applications.', 'Collaborate with cross-functional teams, including product managers, designers, and developers, to gather requirements and translate them into effective UI/UX designs for banking applications.', 'Knowledge of front-end development workflows, version control systems (e.g., Gitlab), and build tools (e.g., Webpack).', 'Excellent communication and collaboration skills, with the ability to work effectively in a team environment.', 'Familiarity with agile development methodologies, such as Scrum or Kanban.', 'Strong problem-solving skills and the ability to translate business requirements into user-centered design solutions']",none,front end
